customer_id,company_name,industry,country,employee_size,acquisition_channel,signup_date,initial_plan
CUST0001,"Rodriguez, Figueroa and Sanchez",E-commerce,Germany,25,Paid Ads,2025-01-01,Growth
CUST0002,Doyle Ltd,FinTech,Singapore,5,Outbound Sales,2024-10-01,Starter
CUST0003,"Mcclain, Miller and Henderson",E-commerce,United Kingdom,25,Paid Ads,2025-01-01,Starter
CUST0004,Davis and Sons,E-commerce,Singapore,25,Partner,2024-06-01,Growth
CUST0005,"Guzman, Hoffman and Baldwin",Logistics,France,25,Content Marketing,2025-08-01,Growth
CUST0006,"Gardner, Robinson and Lawrence",E-commerce,India,250,Referral,2024-04-01,Growth
CUST0007,Blake and Sons,EdTech,Australia,5,Organic Search,2025-05-01,Starter
CUST0008,"Henderson, Ramirez and Lewis",Real Estate,Australia,50,Organic Search,2024-07-01,Starter
CUST0009,Garcia-James,Logistics,United Kingdom,250,Organic Search,2024-08-01,Growth
CUST0010,Abbott-Munoz,SaaS/Tech,Australia,25,Partner,2025-03-01,Growth
CUST0011,Blair PLC,EdTech,Germany,5,Paid Ads,2025-07-01,Starter
CUST0012,Dudley Group,Manufacturing,Germany,500,Partner,2024-08-01,Enterprise
CUST0013,Arnold Ltd,Healthcare,Australia,100,Paid Ads,2024-11-01,Enterprise
CUST0014,"Mcclure, Ward and Lee",FinTech,Netherlands,10,Outbound Sales,2024-10-01,Growth
CUST0015,Williams and Sons,Healthcare,Brazil,250,Referral,2025-01-01,Growth
CUST0016,Galloway-Wyatt,Logistics,Canada,100,Organic Search,2024-11-01,Enterprise
CUST0017,James Group,E-commerce,Australia,250,Referral,2024-09-01,Starter
CUST0018,"Flowers, Martin and Kelly",SaaS/Tech,Australia,25,Partner,2025-05-01,Starter
CUST0019,"Adams, Zuniga and Wong",Media,India,50,Paid Ads,2024-10-01,Growth
CUST0020,"Reid, Ferguson and Sanchez",Logistics,Singapore,50,Partner,2024-06-01,Starter
CUST0021,Gray-Mayo,SaaS/Tech,France,100,Paid Ads,2025-02-01,Growth
CUST0022,"Watts, Robinson and Nguyen",Healthcare,Singapore,500,Organic Search,2024-07-01,Enterprise
CUST0023,Perez Inc,FinTech,India,10,Partner,2025-04-01,Growth
CUST0024,Morales-Jones,FinTech,France,250,Outbound Sales,2024-09-01,Starter
CUST0025,"Walter, Edwards and Rios",Logistics,Germany,1000,Organic Search,2025-03-01,Enterprise
CUST0026,Wilkerson-Day,FinTech,Singapore,50,Partner,2024-05-01,Growth
CUST0027,Baker and Sons,Marketing,France,10,Content Marketing,2024-11-01,Starter
CUST0028,"Hoffman, Baker and Richards",Marketing,Singapore,10,Outbound Sales,2025-05-01,Starter
CUST0029,"Ross, Robinson and Bright",Marketing,Singapore,25,Paid Ads,2024-07-01,Enterprise
CUST0030,"Snyder, Campos and Callahan",Healthcare,Singapore,1000,Organic Search,2025-06-01,Starter
CUST0031,Burton Ltd,Media,USA,5,Referral,2024-08-01,Growth
