payment_id,customer_id,month,amount,status
PAY000001,CUST0001,2025-01-01,99,paid
PAY000002,CUST0001,2025-02-01,99,paid
PAY000003,CUST0001,2025-03-01,99,paid
PAY000004,CUST0001,2025-04-01,99,paid
PAY000005,CUST0001,2025-05-01,99,paid
PAY000006,CUST0001,2025-06-01,99,paid
PAY000007,CUST0001,2025-07-01,99,paid
PAY000008,CUST0001,2025-08-01,99,paid
PAY000009,CUST0001,2025-09-01,99,paid
PAY000010,CUST0001,2025-10-01,99,paid
PAY000011,CUST0001,2025-11-01,99,paid
PAY000012,CUST0001,2025-12-01,99,paid
PAY000013,CUST0002,2024-10-01,29,paid
PAY000014,CUST0002,2024-11-01,29,paid
PAY000015,CUST0002,2024-12-01,29,paid
PAY000016,CUST0002,2025-01-01,29,paid
PAY000017,CUST0002,2025-02-01,29,paid
PAY000018,CUST0002,2025-03-01,29,paid
PAY000019,CUST0002,2025-04-01,29,paid
PAY000020,CUST0002,2025-05-01,29,paid
PAY000021,CUST0002,2025-06-01,29,paid
PAY000022,CUST0002,2025-07-01,29,paid
PAY000023,CUST0002,2025-08-01,29,paid
PAY000024,CUST0002,2025-09-01,29,paid
PAY000025,CUST0002,2025-10-01,29,paid
PAY000026,CUST0002,2025-11-01,29,paid
PAY000027,CUST0003,2025-01-01,29,paid
PAY000028,CUST0003,2025-02-01,29,paid
PAY000029,CUST0003,2025-03-01,29,paid
PAY000030,CUST0003,2025-04-01,29,paid
PAY000031,CUST0003,2025-05-01,29,paid
PAY000032,CUST0003,2025-06-01,29,paid
PAY000033,CUST0003,2025-07-01,99,paid
PAY000034,CUST0003,2025-08-01,99,paid
PAY000035,CUST0003,2025-09-01,99,paid
PAY000036,CUST0003,2025-10-01,99,paid
PAY000037,CUST0003,2025-11-01,99,paid
PAY000038,CUST0003,2025-12-01,99,paid
PAY000039,CUST0004,2024-06-01,99,paid
PAY000040,CUST0004,2024-07-01,99,paid
PAY000041,CUST0004,2024-08-01,99,paid
PAY000042,CUST0005,2025-08-01,99,paid
PAY000043,CUST0005,2025-09-01,99,paid
PAY000044,CUST0005,2025-10-01,99,paid
PAY000045,CUST0005,2025-11-01,99,paid
PAY000046,CUST0005,2025-12-01,99,paid
PAY000047,CUST0006,2024-04-01,99,paid
PAY000048,CUST0006,2024-05-01,99,paid
PAY000049,CUST0006,2024-06-01,99,paid
PAY000050,CUST0006,2024-07-01,99,paid
PAY000051,CUST0006,2024-08-01,99,paid
PAY000052,CUST0006,2024-09-01,99,paid
PAY000053,CUST0006,2024-10-01,99,paid
PAY000054,CUST0006,2024-11-01,99,paid
PAY000055,CUST0006,2024-12-01,99,paid
PAY000056,CUST0006,2025-01-01,99,paid
PAY000057,CUST0006,2025-02-01,99,paid
PAY000058,CUST0006,2025-03-01,99,paid
PAY000059,CUST0006,2025-04-01,99,paid
PAY000060,CUST0006,2025-05-01,99,paid
PAY000061,CUST0006,2025-06-01,99,paid
PAY000062,CUST0006,2025-07-01,99,paid
PAY000063,CUST0006,2025-08-01,99,paid
PAY000064,CUST0006,2025-09-01,99,paid
PAY000065,CUST0006,2025-10-01,99,paid
PAY000066,CUST0006,2025-11-01,99,paid
PAY000067,CUST0006,2025-12-01,99,paid
PAY000068,CUST0007,2025-05-01,29,paid
PAY000069,CUST0007,2025-06-01,29,paid
PAY000070,CUST0007,2025-07-01,29,paid
PAY000071,CUST0007,2025-08-01,29,paid
PAY000072,CUST0008,2024-07-01,29,paid
PAY000073,CUST0008,2024-08-01,29,paid
PAY000074,CUST0008,2024-09-01,29,paid
PAY000075,CUST0008,2024-10-01,29,paid
PAY000076,CUST0008,2024-11-01,29,paid
PAY000077,CUST0008,2024-12-01,29,paid
PAY000078,CUST0008,2025-01-01,99,paid
PAY000079,CUST0008,2025-02-01,99,paid
PAY000080,CUST0008,2025-03-01,99,paid
PAY000081,CUST0008,2025-04-01,99,paid
PAY000082,CUST0008,2025-05-01,99,paid
PAY000083,CUST0008,2025-06-01,99,paid
PAY000084,CUST0008,2025-07-01,99,paid
PAY000085,CUST0008,2025-08-01,99,paid
PAY000086,CUST0008,2025-09-01,99,paid
PAY000087,CUST0008,2025-10-01,99,paid
PAY000088,CUST0008,2025-11-01,99,paid
PAY000089,CUST0008,2025-12-01,99,paid
PAY000090,CUST0009,2024-08-01,99,paid
PAY000091,CUST0009,2024-09-01,99,paid
PAY000092,CUST0009,2024-10-01,99,paid
PAY000093,CUST0009,2024-11-01,99,paid
PAY000094,CUST0010,2025-03-01,99,paid
PAY000095,CUST0010,2025-04-01,99,paid
PAY000096,CUST0010,2025-05-01,99,failed
PAY000097,CUST0010,2025-06-01,99,failed
PAY000098,CUST0010,2025-07-01,99,paid
PAY000099,CUST0010,2025-08-01,99,paid
PAY000100,CUST0010,2025-09-01,99,paid
PAY000101,CUST0010,2025-10-01,99,paid
PAY000102,CUST0010,2025-11-01,99,paid
PAY000103,CUST0010,2025-12-01,99,paid
PAY000104,CUST0011,2025-07-01,29,paid
PAY000105,CUST0011,2025-08-01,29,paid
PAY000106,CUST0011,2025-09-01,29,paid
PAY000107,CUST0011,2025-10-01,29,paid
PAY000108,CUST0011,2025-11-01,29,paid
PAY000109,CUST0011,2025-12-01,29,paid
PAY000110,CUST0012,2024-08-01,299,paid
PAY000111,CUST0012,2024-09-01,299,paid
PAY000112,CUST0012,2024-10-01,299,failed
PAY000113,CUST0012,2024-11-01,299,failed
PAY000114,CUST0012,2024-12-01,299,paid
PAY000115,CUST0012,2025-01-01,299,paid
PAY000116,CUST0012,2025-02-01,299,paid
PAY000117,CUST0012,2025-03-01,299,paid
PAY000118,CUST0012,2025-04-01,299,paid
PAY000119,CUST0012,2025-05-01,299,paid
PAY000120,CUST0012,2025-06-01,299,paid
PAY000121,CUST0012,2025-07-01,299,paid
PAY000122,CUST0012,2025-08-01,299,paid
PAY000123,CUST0012,2025-09-01,299,paid
PAY000124,CUST0012,2025-10-01,299,paid
PAY000125,CUST0012,2025-11-01,299,paid
PAY000126,CUST0012,2025-12-01,299,paid
PAY000127,CUST0013,2024-11-01,299,paid
PAY000128,CUST0013,2024-12-01,299,paid
PAY000129,CUST0013,2025-01-01,299,paid
PAY000130,CUST0013,2025-02-01,299,paid
PAY000131,CUST0013,2025-03-01,299,paid
PAY000132,CUST0013,2025-04-01,299,paid
PAY000133,CUST0013,2025-05-01,299,paid
PAY000134,CUST0013,2025-06-01,299,paid
PAY000135,CUST0013,2025-07-01,299,paid
PAY000136,CUST0013,2025-08-01,299,paid
PAY000137,CUST0013,2025-09-01,299,failed
PAY000138,CUST0013,2025-10-01,299,paid
PAY000139,CUST0013,2025-11-01,299,paid
PAY000140,CUST0013,2025-12-01,299,paid
PAY000141,CUST0014,2024-10-01,99,paid
PAY000142,CUST0014,2024-11-01,99,paid
PAY000143,CUST0014,2024-12-01,99,paid
PAY000144,CUST0014,2025-01-01,99,paid
PAY000145,CUST0014,2025-02-01,99,paid
PAY000146,CUST0014,2025-03-01,99,paid
