subscription_id,customer_id,plan,mrr,start_date,end_date,status
SUB00001,CUST0001,Growth,99,2025-01-01,,active
SUB00002,CUST0002,Starter,29,2024-10-01,2025-11-01,churned
SUB00003,CUST0003,Growth,99,2025-01-01,,active
SUB00004,CUST0004,Growth,99,2024-06-01,2024-08-01,churned
SUB00005,CUST0005,Growth,99,2025-08-01,,active
SUB00006,CUST0006,Growth,99,2024-04-01,,active
SUB00007,CUST0007,Starter,29,2025-05-01,2025-08-01,churned
SUB00008,CUST0008,Growth,99,2024-07-01,,active
SUB00009,CUST0009,Growth,99,2024-08-01,2024-11-01,churned
SUB00010,CUST0010,Growth,99,2025-03-01,,active
SUB00011,CUST0011,Starter,29,2025-07-01,,active
SUB00012,CUST0012,Enterprise,299,2024-08-01,,active
SUB00013,CUST0013,Enterprise,299,2024-11-01,,active
SUB00014,CUST0014,Growth,99,2024-10-01,,active
SUB00015,CUST0015,Enterprise,299,2025-01-01,,active
SUB00016,CUST0016,Enterprise,299,2024-11-01,,active
SUB00017,CUST0017,Starter,29,2024-09-01,2025-11-01,churned
SUB00018,CUST0018,Starter,29,2025-05-01,2025-09-01,churned
SUB00019,CUST0019,Growth,99,2024-10-01,,active
SUB00020,CUST0020,Starter,29,2024-06-01,2024-10-01,churned
SUB00021,CUST0021,Growth,99,2025-02-01,2025-03-01,churned
SUB00022,CUST0022,Enterprise,299,2024-07-01,,active
SUB00023,CUST0023,Growth,99,2025-04-01,,active
SUB00024,CUST0024,Starter,29,2024-09-01,2025-01-01,churned
SUB00025,CUST0025,Enterprise,299,2025-03-01,,active
SUB00026,CUST0026,Growth,99,2024-05-01,2024-06-01,churned
SUB00027,CUST0027,Starter,29,2024-11-01,,active
SUB00028,CUST0028,Starter,29,2025-05-01,2025-06-01,churned
SUB00029,CUST0029,Enterprise,299,2024-07-01,,active
SUB00030,CUST0030,Starter,29,2025-06-01,2025-10-01,churned
SUB00031,CUST0031,Enterprise,299,2024-08-01,,active
SUB00032,CUST0032,Enterprise,299,2024-11-01,,active
SUB00033,CUST0033,Enterprise,299,2025-07-01,,active
SUB00034,CUST0034,Enterprise,299,2024-09-01,,active
SUB00035,CUST0035,Growth,99,2025-07-01,,active
SUB00036,CUST0036,Enterprise,299,2024-07-01,,active
SUB00037,CUST0037,Growth,99,2024-08-01,2025-05-01,churned
SUB00038,CUST0038,Enterprise,299,2024-06-01,,active
SUB00039,CUST0039,Growth,99,2025-03-01,,active
SUB00040,CUST0040,Growth,99,2025-02-01,2025-10-01,churned
SUB00041,CUST0041,Starter,29,2025-07-01,2025-10-01,churned
SUB00042,CUST0042,Starter,29,2024-06-01,2025-05-01,churned
SUB00043,CUST0043,Growth,99,2024-11-01,,active
SUB00044,CUST0044,Growth,99,2024-10-01,2025-08-01,churned
SUB00045,CUST0045,Growth,99,2024-11-01,2025-10-01,churned
SUB00046,CUST0046,Enterprise,299,2025-02-01,,active
