customer_id,month,logins,active_seats,support_tickets,nps_score,plan_at_time
CUST0001,2025-01-01,11,2,0,18,Growth
CUST0001,2025-02-01,24,2,0,12,Growth
CUST0001,2025-03-01,18,4,0,40,Growth
CUST0001,2025-04-01,8,3,0,31,Growth
CUST0001,2025-05-01,15,3,0,25,Growth
CUST0001,2025-06-01,19,2,0,51,Growth
CUST0001,2025-07-01,22,2,1,0,Growth
CUST0001,2025-08-01,23,3,0,44,Growth
CUST0001,2025-09-01,15,4,0,50,Growth
CUST0001,2025-10-01,20,4,0,85,Growth
CUST0001,2025-11-01,18,2,0,16,Growth
CUST0001,2025-12-01,23,3,1,55,Growth
CUST0002,2024-10-01,7,1,0,22,Starter
CUST0002,2024-11-01,4,1,0,6,Starter
CUST0002,2024-12-01,5,1,0,20,Starter
CUST0002,2025-01-01,8,1,0,6,Starter
CUST0002,2025-02-01,3,1,2,39,Starter
CUST0002,2025-03-01,6,1,0,74,Starter
CUST0002,2025-04-01,4,1,0,-28,Starter
CUST0002,2025-05-01,8,1,0,45,Starter
CUST0002,2025-06-01,7,1,1,89,Starter
CUST0002,2025-07-01,3,1,1,29,Starter
CUST0002,2025-08-01,7,1,1,36,Starter
CUST0002,2025-09-01,12,1,0,8,Starter
CUST0002,2025-10-01,9,1,1,40,Starter
CUST0002,2025-11-01,9,1,1,70,Starter
CUST0003,2025-01-01,5,4,0,-4,Starter
CUST0003,2025-02-01,8,3,0,48,Starter
CUST0003,2025-03-01,6,1,0,23,Starter
CUST0003,2025-04-01,8,4,0,12,Starter
CUST0003,2025-05-01,4,2,0,26,Starter
CUST0003,2025-06-01,4,4,1,-16,Starter
CUST0003,2025-07-01,11,4,1,29,Growth
CUST0003,2025-08-01,18,4,2,83,Growth
CUST0003,2025-09-01,26,2,0,19,Growth
CUST0003,2025-10-01,23,4,0,56,Growth
CUST0003,2025-11-01,9,2,0,0,Growth
CUST0003,2025-12-01,21,3,0,55,Growth
CUST0004,2024-06-01,18,4,0,31,Growth
CUST0004,2024-07-01,32,4,0,56,Growth
CUST0004,2024-08-01,22,2,1,7,Growth
CUST0005,2025-08-01,11,4,1,21,Growth
CUST0005,2025-09-01,31,4,0,12,Growth
CUST0005,2025-10-01,17,4,0,32,Growth
CUST0005,2025-11-01,19,4,0,2,Growth
CUST0005,2025-12-01,17,3,1,85,Growth
CUST0006,2024-04-01,20,44,0,46,Growth
CUST0006,2024-05-01,29,30,0,12,Growth
CUST0006,2024-06-01,12,44,0,-6,Growth
CUST0006,2024-07-01,25,37,0,41,Growth
CUST0006,2024-08-01,15,27,0,71,Growth
CUST0006,2024-09-01,9,28,0,-7,Growth
CUST0006,2024-10-01,18,42,0,85,Growth
CUST0006,2024-11-01,15,28,0,53,Growth
CUST0006,2024-12-01,18,38,0,10,Growth
CUST0006,2025-01-01,23,31,1,15,Growth
CUST0006,2025-02-01,13,31,1,6,Growth
CUST0006,2025-03-01,20,47,0,77,Growth
CUST0006,2025-04-01,15,39,0,12,Growth
CUST0006,2025-05-01,8,26,0,-33,Growth
CUST0006,2025-06-01,19,27,0,42,Growth
