month,active_customers,churned_customers,churn_rate_pct
2024-01-01,10,0.0,0.0
2024-02-01,31,1.0,3.23
2024-03-01,59,0.0,0.0
2024-04-01,89,3.0,3.37
2024-05-01,118,2.0,1.69
2024-06-01,159,3.0,1.89
2024-07-01,193,3.0,1.55
2024-08-01,232,10.0,4.31
2024-09-01,266,5.0,1.88
2024-10-01,304,12.0,3.95
2024-11-01,333,9.0,2.7
2024-12-01,366,12.0,3.28
2025-01-01,382,18.0,4.71
2025-02-01,395,9.0,2.28
2025-03-01,420,7.0,1.67
2025-04-01,435,8.0,1.84
2025-05-01,449,21.0,4.68
2025-06-01,443,18.0,4.06
2025-07-01,440,11.0,2.5
2025-08-01,439,16.0,3.64
2025-09-01,427,15.0,3.51
2025-10-01,416,18.0,4.33
2025-11-01,399,13.0,3.26
2025-12-01,386,9.0,2.33
